#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2017-02-16T19:01:00,2017-02-16T19:05:00,2017-02-16T19:09:00,561.828,5.24272,525.38,559.39,581.39,614.06
2017-02-16T19:10:00,2017-02-16T19:15:00,2017-02-16T19:20:00,561.11,5.38731,525.38,559.39,581.39,614.06
2017-02-16T19:21:00,2017-02-16T19:25:30,2017-02-16T19:30:00,559.458,5.8192,525.38,559.39,581.39,614.06
2017-02-16T19:31:00,2017-02-16T19:35:00,2017-02-16T19:39:00,558.239,5.24991,525.38,559.39,581.39,614.06
2017-02-16T19:40:00,2017-02-16T19:42:30,2017-02-16T19:45:00,557.755,5.50045,525.38,559.39,581.39,614.06
2017-02-16T20:46:00,2017-02-16T20:51:00,2017-02-16T20:56:00,563.718,5.54266,525.38,559.39,581.39,614.06
2017-02-16T20:57:00,2017-02-16T21:01:30,2017-02-16T21:06:00,562.484,6.11439,525.38,559.39,581.39,614.06
2017-02-16T21:07:00,2017-02-16T21:11:00,2017-02-16T21:15:00,560.856,6.81813,525.38,559.39,581.39,614.06
2017-02-16T21:16:00,2017-02-16T21:21:00,2017-02-16T21:26:00,558.788,6.3888,525.38,559.39,581.39,614.06
2017-02-16T21:27:00,2017-02-16T21:29:00,2017-02-16T21:31:00,558.117,6.22023,525.38,559.39,581.39,614.06
2017-02-16T22:40:00,2017-02-16T22:41:00,2017-02-16T22:42:00,564.51,5.56469,525.38,559.39,581.39,614.06
2017-02-16T22:43:00,2017-02-16T22:47:30,2017-02-16T22:52:00,563.476,6.09499,525.38,559.39,581.39,614.06
2017-02-16T22:53:00,2017-02-16T22:57:30,2017-02-16T23:02:00,561.261,8.47456,525.38,559.39,581.39,614.06
2017-02-16T23:03:00,2017-02-16T23:07:00,2017-02-16T23:11:00,559.096,6.99321,525.38,559.39,581.39,614.06
2017-02-16T23:12:00,2017-02-16T23:14:30,2017-02-16T23:17:00,558.163,6.77318,525.38,559.39,581.39,614.06
2017-02-17T00:33:24,2017-02-17T00:35:24,2017-02-17T00:37:24,561.667,5.20766,525.38,559.39,581.39,614.06
2017-02-17T00:38:24,2017-02-17T00:43:24,2017-02-17T00:48:24,559.467,8.32584,525.38,559.39,581.39,614.06
2017-02-17T00:49:24,2017-02-17T00:53:54,2017-02-17T00:58:24,558.096,5.80529,525.38,559.39,581.39,614.06
2017-02-17T00:59:24,2017-02-17T01:01:24,2017-02-17T01:03:24,557.548,4.4758,525.38,559.39,581.39,614.06
2017-02-17T02:28:24,2017-02-17T02:31:24,2017-02-17T02:34:24,559.035,7.51421,525.38,559.39,581.39,614.06
